time,open,high,low,close,volume
2019-02-06 00:00,1314.715,1315.548,1303.418,1303.545,1376
2019-02-07 00:00,1303.525,1311.878,1302.705,1308.658,1372
2019-02-08 00:00,1308.658,1315.568,1307.698,1313.945,1110
2019-02-10 00:00,1314.098,1314.815,1311.148,1311.758,268
2019-02-11 00:00,1311.755,1312.285,1303.595,1308.405,1379
2019-02-12 00:00,1308.395,1314.668,1307.355,1312.455,1377
2019-02-13 00:00,1312.445,1318.078,1304.975,1308.565,1377
2019-02-14 00:00,1308.575,1314.308,1302.288,1312.465,1377
2019-02-15 00:00,1312.455,1322.555,1311.798,1321.035,1105
2019-02-17 00:00,1320.882,1325.125,1320.405,1325.008,268
2019-02-18 00:00,1325.008,1327.545,1321.255,1325.238,1135
2019-02-19 00:00,1325.248,1346.655,1322.778,1344.525,1377
2019-02-20 00:00,1344.525,1346.285,1336.798,1339.418,1378
2019-02-21 00:00,1339.418,1340.785,1320.858,1326.215,1380
2019-02-22 00:00,1326.215,1333.038,1321.468,1327.885,1110
2019-02-24 00:00,1328.835,1331.775,1326.795,1331.585,270
2019-02-25 00:00,1331.585,1332.485,1325.115,1329.055,1379
2019-02-26 00:00,1329.098,1329.808,1323.445,1327.555,1334
2019-02-27 00:00,1328.247,1328.765,1316.815,1318.555,1361
2019-02-28 00:00,1318.555,1327.228,1312.195,1313.245,1378
2019-03-01 00:00,1313.245,1313.478,1290.098,1293.055,1110
2019-03-03 00:00,1292.705,1296.995,1292.705,1295.815,270
2019-03-04 00:00,1295.818,1296.835,1282.758,1288.925,1375
2019-03-05 00:00,1288.915,1289.405,1281.128,1287.335,1370
2019-03-06 00:00,1287.335,1290.885,1283.545,1286.405,1378
2019-03-07 00:00,1286.435,1288.975,1280.485,1287.405,1371
2019-03-08 00:00,1287.405,1300.708,1286.828,1298.055,1108
2019-03-10 00:00,1297.765,1298.305,1295.605,1296.785,329
2019-03-11 00:00,1296.775,1299.045,1290.395,1296.325,1371
2019-03-12 00:00,1296.315,1305.718,1294.325,1305.245,1367
2019-03-13 00:00,1305.245,1311.168,1303.635,1304.685,1371
2019-03-14 00:00,1304.695,1304.918,1292.775,1299.265,1370
2019-03-15 00:00,1299.288,1306.328,1297.045,1301.875,1046
2019-03-17 00:00,1301.855,1302.485,1298.155,1299.265,328
2019-03-18 00:00,1299.325,1307.425,1298.428,1307.095,1372
2019-03-19 00:00,1307.105,1310.835,1303.635,1304.868,1373
2019-03-20 00:00,1304.868,1318.975,1298.605,1317.925,1365
2019-03-21 00:00,1317.945,1320.305,1303.205,1309.275,1374
2019-03-22 00:00,1309.275,1314.898,1307.285,1313.075,1048
2019-03-24 00:00,1313.105,1315.748,1310.958,1315.278,326
2019-03-25 00:00,1315.228,1324.448,1314.955,1320.785,1375
2019-03-26 00:00,1320.805,1320.935,1312.625,1316.335,1377
2019-03-27 00:00,1316.318,1319.258,1307.218,1310.598,1375
2019-03-28 00:00,1310.598,1312.245,1288.455,1289.248,1374
2019-03-29 00:00,1289.308,1299.745,1286.668,1291.885,1049
2019-03-31 00:00,1292.025,1293.718,1290.268,1293.515,329
2019-04-01 00:00,1293.515,1296.955,1286.425,1287.375,1371
2019-04-02 00:00,1287.408,1293.255,1285.145,1292.865,1373
2019-04-03 00:00,1292.955,1294.488,1288.335,1291.858,1369
2019-04-04 00:00,1291.865,1294.338,1280.848,1289.28,1373
2019-04-05 00:00,1289.28,1293.148,1284.325,1291.185,1048
2019-04-07 00:00,1291.305,1296.688,1291.205,1296.028,326
2019-04-08 00:00,1296.068,1303.648,1295.988,1299.045,1372
2019-04-09 00:00,1299.045,1306.138,1297.035,1302.098,1376
2019-04-10 00:00,1302.168,1310.518,1300.858,1306.365,1377
2019-04-11 00:00,1306.365,1308.168,1289.548,1292.705,1377
2019-04-12 00:00,1292.678,1295.708,1290,1290.177,1047
2019-04-14 00:00,1291.075,1291.858,1287.1,1288.095,330
2019-04-15 00:00,1288.108,1290.058,1282.448,1284.808,1377
2019-04-16 00:00,1284.848,1287.348,1272.905,1276.505,1377
2019-04-17 00:00,1276.498,1279.688,1271.538,1271.868,1373
2019-04-18 00:00,1271.878,1277.628,1271.105,1275.475,1047
2019-04-21 00:00,1275.598,1279.765,1274.935,1279.288,329
2019-04-22 00:00,1279.265,1279.765,1273.498,1275.615,1367
2019-04-23 00:00,1275.628,1275.788,1266.198,1269.065,1377
2019-04-24 00:00,1269.065,1278.468,1268.985,1276.085,1375
2019-04-25 00:00,1276.098,1282.528,1274.728,1279.875,1377
2019-04-26 00:00,1279.895,1288.608,1273.725,1285.695,1048
2019-04-28 00:00,1286.275,1286.618,1285,1285.688,321
2019-04-29 00:00,1285.688,1286.158,1277.988,1282.528,1371
2019-04-30 00:00,1282.548,1286.118,1279.325,1280.075,1374
2019-05-01 00:00,1280.135,1287.188,1272.655,1273.748,1376
2019-05-02 00:00,1273.765,1274.835,1266.195,1271.415,1367
2019-05-03 00:00,1271.415,1282.468,1268.268,1278.775,1044
2019-05-05 00:00,1280.305,1285.728,1279.775,1282.958,330
2019-05-06 00:00,1282.968,1283.858,1276.935,1282.735,1372
2019-05-07 00:00,1282.738,1287.208,1278.155,1285.945,1370
2019-05-08 00:00,1285.945,1291.415,1279.275,1280.495,1375
2019-05-09 00:00,1280.468,1288.138,1280.198,1284.345,1375
2019-05-10 00:00,1284.335,1289.338,1283.215,1285.505,1049
2019-05-12 00:00,1287.485,1288.468,1283.435,1283.598,330
2019-05-13 00:00,1283.608,1303.245,1281.935,1298.578,1373
2019-05-14 00:00,1298.668,1299.968,1293.665,1295.528,1376
2019-05-15 00:00,1295.528,1300.848,1292.948,1296.055,1375
2019-05-16 00:00,1296.025,1298.688,1284.035,1286.208,1376
2019-05-17 00:00,1286.198,1288.868,1274.748,1277.485,1049
2019-05-19 00:00,1277.535,1278.808,1275.928,1276.878,330
2019-05-20 00:00,1276.925,1278.948,1273.608,1275.685,1369
2019-05-21 00:00,1275.685,1276.548,1269.455,1273.898,1372
2019-05-22 00:00,1273.878,1277.268,1272.415,1273.095,1377
2019-05-23 00:00,1273.095,1287.218,1272.755,1284.195,1378
2019-05-24 00:00,1284.198,1285.168,1280.695,1284.615,1042
2019-05-26 00:00,1284.655,1287.318,1283.705,1286.715,330
